Symbol,Country,Name,NameAlt,MarketCap,MarketCapUSD,Industry,Sector,BoardLot,Exchange,,
AAPL,US,Apple Inc.,Apple Inc.,1421460,1421460,Computer Manufacturing,Technology,1,nasdaq,,
MSFT,US,Microsoft Corporation,Microsoft Corporation,1397310,1397310,Computer Software: Prepackaged Software,Technology,1,nasdaq,,
AMZN,US,"Amazon.com, Inc.","Amazon.com, Inc.",1070230,1070230,Catalog/Specialty Distribution,Consumer Services,1,nasdaq,,
GOOG,US,Alphabet Inc.,Alphabet Inc.,1041000,1041000,"Computer Software: Programming, Data Processing",Technology,1,nasdaq,,
GOOGL,US,Alphabet Inc.,Alphabet Inc.,1040130,1040130,"Computer Software: Programming, Data Processing",Technology,1,nasdaq,,
CIVBP,US,"Civista Bancshares, Inc. ","Civista Bancshares, Inc. ",658002,658002,Major Banks,Finance,1,nasdaq,,
FB,US,"Facebook, Inc.","Facebook, Inc.",607550,607550,"Computer Software: Programming, Data Processing",Technology,1,nasdaq,,
BABA,US,Alibaba Group Holding Limited,Alibaba Group Holding Limited,591160,591160,Business Services,Miscellaneous,1,nyse,,
V,US,Visa Inc.,Visa Inc.,459580,459580,Business Services,Miscellaneous,1,nyse,,
JPM,US,J P Morgan Chase & Co,J P Morgan Chase & Co,425220,425220,Major Banks,Finance,1,nyse,,
JNJ,US,Johnson & Johnson,Johnson & Johnson,395020,395020,Major Pharmaceuticals,Health Care,1,nyse,,
MA,US,Mastercard Incorporated,Mastercard Incorporated,338820,338820,Business Services,Miscellaneous,1,nyse,,
WMT,US,Walmart Inc.,Walmart Inc.,333200,333200,Department/Specialty Retail Stores,Consumer Services,1,nyse,,
PG,US,Procter & Gamble Company (The),Procter & Gamble Company (The),308580,308580,Package Goods/Cosmetics,Basic Industries,1,nyse,,
BAC,US,Bank of America Corporation,Bank of America Corporation,308470,308470,Major Banks,Finance,1,nyse,,
TSM,US,Taiwan Semiconductor Manufacturing Company Ltd.,Taiwan Semiconductor Manufacturing Company Ltd.,307690,307690,Semiconductors,Technology,1,nyse,,
INTC,US,Intel Corporation,Intel Corporation,288440,288440,Semiconductors,Technology,1,nasdaq,,
UNH,US,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,286310,286310,Medical Specialities,Health Care,1,nyse,,
T,US,AT&T Inc.,AT&T Inc.,274680,274680,Telecommunications Equipment,Public Utilities,1,nyse,,
SBFGP,US,"SB Financial Group, Inc.","SB Financial Group, Inc.",274258.5,274258.5,Major Banks,Finance,1,nasdaq,,
SHIPZ,US,Seanergy Maritime Holdings Corp,Seanergy Maritime Holdings Corp,271058.8,271058.8,Marine Transportation,Transportation,1,nasdaq,,
